Year,Brand,Model,Released,Type,BodyStyle,Storage ft3,Seats,Drive,KwH,Range,Engine,Displacement,HP,Torque,zeroToSixty,Weight,FuelEcon,LowestPrice,MSRP,Sept2018,Nov2018,Dec2018
2017,Ford,Fusion Energi,Y,PHEV,Sedan,8.2,5,FWD,7.6,33,I4,2.0,188,129,7.9,1805,4,21998,37288,N/A,N/A,21998
2017,Ford,C-Max Energi,Y,PHEV,Hatch,19.2,5,FWD,7.6,32,I4,2.0,188,128,8.5,1768,4,22900,29829,N/A,N/A,22900
2014,BMW,i3 REX,Y,PHEV,Hatch,15,4,RWD,22,116,I3,0.65,178,181,7,1315,1.5,23000,48950,24900,23900,23000
2017,Ford,Focus Electric,Y,BEV,Hatch,14,5,FWD,33.5,185,N/A,N/A,143,181,9.9,1661,N/A,24498,31999,N/A,N/A,24498
2017,Smart,Fortwo EV,Y,BEV,Coupe,8,2,RWD,17.6,130,N/A,N/A,80,118,11.1,1088,N/A,24988,28800,N/A,N/A,24988
2015,Volkswagen,e-Golf,Y,BEV,Hatch,23,5,FWD,24.2,134,N/A,N/A,115,199,10,1542,N/A,24999,35995,25499,24999,24999
2017,Chevrolet,Volt,Y,PHEV,Hatch,11,4,FWD,18.4,85,I4,1.4,149,294,7.5,1607,2.4,26995,38390,27998,25600,26995
2017,Prius,Prime,Y,PHEV,Hatch,20,4,FWD,8.8,40,I4,1.8,121,105,10.2,1526,2.8,26995,32990,N/A,N/A,26995
2019,Hyundai,Ioniq PHEV,Y,PHEV,Hatch,23,5,FWD,8.9,43,I4,1.6,139,195,8.9,1552,2.8,29400,32299,29400,29400,29400
2018,Kia,Soul EV,Y,BEV,SUV,19,5,FWD,30,182,N/A,N/A,109,210,9.2,1584,N/A,29495,35895,N/A,N/A,29495
2019,Hyundai,Ioniq BEV,Y,BEV,Hatch,23,5,FWD,28,200,N/A,N/A,118,215,8.6,1469,N/A,30900,37449,30900,32200,32200
2017,Audi,A3 e-Tron,Y,PHEV,Hatch,14,5,FWD,8.8,32,I4,1.4,201,243,7.6,1615,2.5,32500,40900,35500,33500,32500
2018,Nissan,Leaf,Y,BEV,Hatch,24,5,FWD,40,243,N/A,N/A,147,236,7.5,1580,N/A,33777,35998,35000,33777,33777
2017,Volkswagen,e-Golf,Y,BEV,Hatch,23,5,FWD,35.8,201,N/A,N/A,134,214,9.6,1553,N/A,34000,35995,34000,35000,35000
2017,BMW,i3 REX,Y,PHEV,Hatch,15,4,RWD,33,160,I3,0.65,178,181,7,1448,1.5,34000,52150,39900,38900,34000
2017,Chevrolet,Bolt EV,Y,BEV,Hatch,17,5,FWD,60,383,N/A,N/A,200,266,6.5,1616,N/A,34997,44495,39836,41000,34997
2018,Honda,Clarity PHEV,Y,PHEV,Sedan,16,5,FWD,17,76,I4,1.5,212,232,7.7,1838,2.4,38900,39900,38900,N/A,N/A
2018,Mitsubishi,Outlander PHEV,Y,PHEV,SUV,30,5,AWD,12,35,I4,2.0,200,250,9.2,1895,4.4,39998,43000,N/A,N/A,39998
2020,Kia,Soul EV,N,BEV,Hatch,,5,FWD,64,400,N/A,N/A,201,291,7.5,1685,N/A,42000,42000,N/A,N/A,N/A
2017,Chrysler,Pacifica Hybrid,Y,PHEV,Minivan,32,7,FWD,16,53,V6,3.6,260,262,7.8,2324,3.6,44873,56500,N/A,N/A,44875
2019,Hyundai,Kona Electric LR,N,BEV,CUV,19,5,FWD,64,415,N/A,N/A,204,291,7.5,1727,N/A,45000,45000,N/A,N/A,N/A
2019,Tesla,Model 3 Base,N,BEV,Sedan,15,5,RWD,50,350,N/A,N/A,271,307,5.1,1611,N/A,45600,45600,N/A,N/A,N/A
2013,Tesla,Model S 60,Y,BEV,Hatch,26,5,RWD,60,340,N/A,N/A,382,317,5.5,1961,N/A,47900,70000,56936,54900,47900
2012,Fisker,Karma,Y,PHEV,Sedan,7,4,RWD,20.1,51,I4,2.0,403,960,6.3,2400,9.8,48500,103000,48500,48500,49000
2012,Tesla,Model S P85,Y,BEV,Hatch,26,5,RWD,85,426,N/A,N/A,470,443,4.2,2112,N/A,51900,114000,60000,54994,51900
2014,Tesla,Model S 85,Y,BEV,Hatch,26,5,RWD,85,426,N/A,N/A,382,325,5.4,2108,N/A,55900,79000,57998,54994,55900
2018,BMW,i3s REX,Y,PHEV,Hatch,15,4,RWD,33,160,I3,0.65,184,199,6.5,1496,1.5,58900,66646,58900,61499,61499
2016,Porsche,Cayenne S E-Hybrid,Y,PHEV,SUV,20,5,AWD,10.8,36,V6,3.0,410,440,5.9,2350,6.4,59900,86600,59900,59900,59900
2019,Tesla,Model 3 MR,Y,BEV,Sedan,15,5,RWD,63,418,N/A,N/A,271,307,4.9,1672,N/A,60100,60100,60100,62636,N/A
2014,Porsche,Panamera S E-Hybrid,Y,PHEV,Hatch,12,4,RWD,9.4,26,V6,3.0,416,435,5.8,2177,8.3,64995,113300,69999,64995,64995
2016,Cadillac,ELR,Y,PHEV,Coupe,10.5,4,FWD,17.1,63,I4,1.4,233,373,6.3,1846,3.2,65000,74045,N/A,N/A,65000
2015,Tesla,Model S 85D,Y,BEV,Hatch,26,5,AWD,85,430,N/A,N/A,518,485,3.7,2188,N/A,66950,98700,72900,74950,66950
2018,Tesla,Model 3 LR,Y,BEV,Sedan,15,5,AWD,75,500,N/A,N/A,346,389,3.9,1847,N/A,69400,69400,72000,71000,71700
2016,Tesla,Model S 90D,Y,BEV,Hatch,26,5,AWD,90,473,N/A,N/A,518,485,3.7,2200,N/A,76500,107600,89999,76500,76500
2015,Tesla,Model S P85D,Y,BEV,Hatch,26,5,AWD,85,407,N/A,N/A,762,687,3.1,2239,N/A,79500,120000,79500,79500,86000
2014,BMW,i8,Y,PHEV,Hatch,5,4,AWD,7.1,25,I3,1.5,357,420,4.2,1485,6.4,82900,145000,89850,86900,82900
2019,Jaguar,I-Pace,Y,BEV,SUV,23,5,AWD,90,386,N/A,N/A,394,512,4.8,2133,N/A,86500,86500,N/A,N/A,N/A
2019,Audi,E-Tron,N,BEV,SUV,23,5,AWD,95,400,N/A,N/A,400,490,5.7,2400,N/A,90000,90000,N/A,N/A,N/A
2016,Tesla,Model X 75D,Y,BEV,SUV,26,6,AWD,75,383,N/A,N/A,518,387,4.9,2330,N/A,96936,111950,96936,104888,105800
2020,Audi,E-Tron GT,N,BEV,Hatch,16,N/A,AWD,90,400,N/A,N/A,590,664,3.5,2200,N/A,100000,100000,N/A,N/A,N/A
2020,Porsche,Taycan,N,BEV,Hatch,N/A,N/A,AWD,90,500,N/A,N/A,600,N/A,3.5,2000,N/A,120000,120000,N/A,N/A,N/A
